call_id,gold_token_count,asr_token_count,length_ratio,insertion_rate,repetition_ratio,short_call_hallucination,repetition_burst,repetition_run,hallucination_candidate,gold_polarity,asr_polarity,gold_quantities,missing_quantities
2f5a58b5-3467-45cf-a57a-70c4ae0165ae,48,62,1.29,0.403,0.0,False,False,,False,affirmative,affirmative,eight,
ebbb8d49-de7b-4d30-a845-ef68c74a980a,15,18,1.2,0.333,0.0,False,False,,False,"affirmative,negative","affirmative,negative",bottles,
5a7d6b58-8e53-4c52-8f96-0166236e8e0a,146,40,0.27,0.325,0.0,False,False,,False,"affirmative,negative","affirmative,negative","चार,चार","चार,चार"
c5586005-1416-4104-bd79-341d76bc6e8c,2,2,1.0,0.0,0.0,False,False,,False,,,,
7d743b92-bd32-4e39-afd4-a9da3b3c52bd,2,3,1.5,0.333,0.0,True,False,,True,,,,
e6a45e58-9fec-4691-8f2d-3b2ba5ad45d8,5,9,1.8,0.667,0.667,True,True,नीतिया,True,"affirmative,negative","affirmative,negative",,
685ebfb1-06f5-4043-8443-b3390789e333,3,5,1.67,0.8,0.0,True,False,,True,"affirmative,negative","affirmative,negative",,
3c11aa34-2123-4df6-a567-2c23e7272953,5,5,1.0,0.8,0.8,False,True,तेलुगु,True,,,,
a2632186-df70-44d4-a573-c7fdfa9024db,3,3,1.0,0.333,0.0,False,False,,False,"affirmative,negative",negative,,
20579a98-2cf2-4e8e-9df2-4e06b5d25d86,3,3,1.0,0.333,0.0,False,False,,False,negative,negative,,
31fb72e8-80a7-47d2-a608-eadb0249953c,6,17,2.83,0.647,0.0,True,False,,True,affirmative,affirmative,,
607cbd35-a1f3-4560-9dc7-0858e611b87f,6,8,1.33,0.75,0.0,False,False,,False,negative,negative,,
88d0e749-daf7-4f1f-90b3-a83b1e40cc5e,5,8,1.6,0.5,0.0,True,False,,True,,,,
130d7762-b4ee-48be-bc0f-8406a8c2ea3a,7,6,0.86,0.167,0.0,False,False,,False,affirmative,affirmative,,
1dfaac3f-15d2-4061-867e-87a74f461b8c,4,4,1.0,0.5,0.0,False,False,,False,affirmative,"affirmative,negative",,
0de04f5e-bbe8-40f8-a156-a2a8fc85ebee,35,30,0.86,0.067,0.0,False,False,,False,"affirmative,negative",affirmative,,
47629b83-b3af-4492-bc4a-5a6aa0a2aa8e,106,133,1.25,0.331,0.0,False,False,,False,affirmative,affirmative,,
6d43f318-0e7b-4421-af94-ffc769cd99c3,116,62,0.53,0.194,0.0,False,False,,False,"affirmative,negative","affirmative,negative","forty six,forty six,forty six,forty six",
f87b3e49-f5ad-4662-bfd0-16a5a833a146,68,73,1.07,0.37,0.0,False,False,,False,"affirmative,negative","affirmative,negative",,
9485d29f-f572-4556-8cd3-c9bc0c53be91,11,16,1.45,0.375,0.188,False,True,yes,True,"affirmative,negative","affirmative,negative",,
7eb5f02c-881a-4d70-beaf-c68bcb2e8c22,15,22,1.47,0.455,0.136,False,False,hello,False,negative,negative,do,
bc750d0d-ba91-4aac-935a-0ada6447900a,21,25,1.19,0.44,0.0,False,False,,False,"affirmative,negative","affirmative,negative",,
1a82be4c-c36b-4f91-adac-8648f237ef43,13,16,1.23,0.312,0.062,False,False,hello,False,negative,negative,,
963cce78-ad9a-45e5-98c3-962a24bdb7bb,95,40,0.42,0.15,0.0,False,False,,False,"affirmative,negative","affirmative,negative","eighty five percentage,seventy five percentage",
6400c588-c623-472c-b097-4bb03d6edaf2,89,92,1.03,0.359,0.0,False,False,,False,"affirmative,negative","affirmative,negative",,
5d04b4b5-5615-4663-aa3a-fa231be34ccb,19,27,1.42,0.37,0.0,False,False,,False,"affirmative,negative","affirmative,negative",,
c95edcdd-5ffe-4864-9722-3a88988365fd,12,18,1.5,0.389,0.056,False,False,yes,False,affirmative,affirmative,,
ca20a6fe-6036-41e1-bf47-68a8205a4239,16,19,1.19,0.579,0.0,False,False,,False,affirmative,affirmative,"fifty,fifty",
4ca9d7c5-29d4-43b9-b834-c70399fb1332,53,75,1.42,0.48,0.0,False,False,,False,"affirmative,negative","affirmative,negative",दो,
a64ff8a2-38a3-4532-a7d7-ea42a87e541c,24,3,0.12,0.667,0.0,False,False,,False,affirmative,,,
ae6caea0-a3b7-445d-a83e-6d02457af07b,17,11,0.65,0.727,0.0,False,False,,False,,,,
7937b554-3541-461b-be76-1c7383fd267a,11,20,1.82,0.45,0.1,False,False,जी maam,False,affirmative,affirmative,,
